Image;Accuracy
1000;0.0
1001;0.0
1002;0.0
1003;0.0
1004;0.0
1005;0.0
1006;0.0
1007;0.0
1008;0.0
1009;0.0
1010;0.8300653594771242
1011;0.0
1012;0.0
1013;0.0
1014;0.0
1015;0.0
1016;0.0
1017;0.0
1018;0.0
1019;0.0
1020;0.0
1021;0.0
1022;0.0
1023;0.0
1024;0.0
1026;0.0
1027;0.0
1028;0.0
1029;0.34782608695652173
1030;0.0
1031;0.028409090909090908
1032;0.11818181818181818
1033;0.0
1035;0.0
1036;0.0
1037;0.0
1038;0.0
1039;0.0
1040;0.0
1042;0.18397626112759644
1043;0.0
1044;0.0
1046;0.0
1047;0.0
1048;0.0
1049;0.0
1050;0.0
1051;0.0
1052;0.0
1053;0.0
1054;0.0
1055;0.0
1056;0.08155339805825243
1057;0.0
1058;0.0
1059;0.0
1060;0.13953488372093023
1061;0.0
1062;0.0
1064;0.13765182186234817
1065;0.0
1066;0.0
1067;0.014084507042253521
1068;0.0
1069;0.034782608695652174
1070;0.0
1071;0.38181818181818183
1072;0.0
1073;0.0
1074;0.0
1075;0.0
1076;0.0
1077;0.1695906432748538
1078;0.0
1079;0.3
1080;0.0
1081;0.0
1082;0.0
1083;0.0
1084;0.5058139534883721
1085;0.3531468531468531
1086;0.0
1087;0.0
1088;0.0
1089;0.0
1090;0.0
1091;0.6032786885245902
1092;0.0
1093;0.0
1094;0.0
1095;0.0
1096;0.0
1097;0.0
1098;0.0
1099;0.0
1100;0.0
1101;0.0
1102;0.0
1103;0.0
1104;0.0
1105;0.5483870967741935
1106;0.0
1107;0.0
1108;0.0
1110;0.0
1111;0.0
1112;0.28746928746928746
1113;0.0
1114;0.0
1115;0.0
1116;0.0
1117;0.0
1118;0.0
1119;0.0
1120;0.0
1121;0.0
1122;0.0
1123;0.0
1124;0.0
1125;0.0
1126;0.0
1127;0.0
1128;0.0
1129;0.0
1130;0.0
1131;0.0
1132;0.0
1133;0.26294820717131473
1134;0.0
1135;0.0
1136;0.0
1138;0.0
1139;0.0
1140;0.0
1141;0.0
1142;0.0
1143;0.0
1144;0.0
1145;0.10943396226415095
1146;0.0
1147;0.0
1148;0.0
1149;0.0379746835443038
1150;0.0
1152;0.0
1153;0.0
1154;0.0340632603406326
1155;0.0
1156;0.0
1157;0.0
1159;0.0
1160;0.04081632653061224
1161;0.0
1162;0.0
1163;0.0
1164;0.0
1165;0.0
1166;0.0
1167;0.0
1168;0.0
1170;0.0
1171;0.0
1172;0.0
1173;0.0
1174;0.0
1175;0.0
1176;0.0
1177;0.0
1178;0.0
1179;0.0
1180;0.0
1181;0.0
1182;0.0
1183;0.0
1184;0.08852459016393442
1185;0.0
1186;0.0
1187;0.48214285714285715
1188;0.0
1189;0.0
1190;0.0
1191;0.0
1193;0.0
1195;0.0
1196;0.0
1197;0.0
1198;0.0
1199;0.0
