Image;Accuracy
1000;0.6273584905660378
1001;0.0
1002;0.24745762711864408
1003;0.0
1004;0.821256038647343
1005;0.13020833333333334
1006;0.10727969348659004
1007;0.8944281524926686
1008;0.9959839357429718
1009;0.4696485623003195
1010;0.9640522875816994
1011;0.45681381957773515
1012;0.9113149847094801
1013;0.813953488372093
1014;0.46366782006920415
1015;0.7653631284916201
1016;0.7153284671532847
1017;0.4726027397260274
1018;0.7092511013215859
1019;0.27076923076923076
1020;0.68
1021;0.7822222222222223
1022;0.03474903474903475
1023;0.9114832535885168
1024;0.7341269841269841
1026;0.0
1027;0.9270516717325228
1028;0.3743169398907104
1029;0.7710144927536232
1030;0.33236994219653176
1031;0.7982954545454546
1032;0.9227272727272727
1033;0.6027397260273972
1035;0.628808864265928
1036;0.7692307692307693
1037;0.7111801242236024
1038;0.8996539792387543
1039;0.7717842323651453
1040;0.8740740740740741
1042;0.6913946587537092
1043;0.5245098039215687
1044;0.1437125748502994
1046;0.728744939271255
1047;0.0
1048;0.8805555555555555
1049;0.725609756097561
1050;0.5622775800711743
1051;0.7714285714285715
1052;0.7580071174377224
1053;0.07983193277310924
1054;0.947945205479452
1055;0.7094339622641509
1056;0.7165048543689321
1057;0.9521739130434783
1058;0.042682926829268296
1059;0.9441860465116279
1060;0.9435215946843853
1061;0.6640625
1062;0.29069767441860467
1064;0.6072874493927125
1065;0.6686567164179105
1066;0.897887323943662
1067;0.8204225352112676
1068;0.541871921182266
1069;0.6985507246376812
1070;0.6755725190839694
1071;0.5781818181818181
1072;0.8626373626373627
1073;0.21085594989561587
1074;0.573170731707317
1075;0.3717948717948718
1076;0.0
1077;0.97953216374269
1078;0.8490566037735849
1079;0.9290322580645162
1080;0.844776119402985
1081;0.646551724137931
1082;0.6943521594684385
1083;0.7757255936675461
1084;0.75
1085;0.8461538461538461
1086;0.65625
1087;0.0
1088;0.27923627684964203
1089;0.7367205542725174
1090;0.4235294117647059
1091;0.8852459016393442
1092;0.24632352941176472
1093;0.5037593984962406
1094;0.7791164658634538
1095;0.6984126984126984
1096;0.8540772532188842
1097;0.4607142857142857
1098;0.7350993377483444
1099;0.843501326259947
1100;0.7004504504504504
1101;0.9957805907172996
1102;0.9391634980988594
1103;0.6813880126182965
1104;0.7333333333333333
1105;0.8091397849462365
1106;0.5885714285714285
1107;0.9563758389261745
1108;0.6450381679389313
1110;0.8115384615384615
1111;0.03768115942028986
1112;0.7567567567567568
1113;0.9610894941634242
1114;0.026905829596412557
1115;0.8916967509025271
1116;0.8783269961977186
1117;0.49635036496350365
1118;0.30526315789473685
1119;0.4523809523809524
1120;0.9791666666666666
1121;0.32669322709163345
1122;0.6690140845070423
1123;0.7973568281938326
1124;0.9121813031161473
1125;0.9591836734693877
1126;0.8442367601246106
1127;0.556
1128;0.8907563025210085
1129;0.9033613445378151
1130;0.8719211822660099
1131;0.5650969529085873
1132;0.9894736842105263
1133;0.8844621513944223
1134;0.4349593495934959
1135;0.6415094339622641
1136;0.7991803278688525
1138;0.639412997903564
1139;0.5153374233128835
1140;0.7046263345195729
1141;0.9521531100478469
1142;0.6979166666666666
1143;0.42359249329758714
1144;0.7699115044247787
1145;0.8943396226415095
1146;0.8586956521739131
1147;0.7282321899736148
1148;0.4606413994169096
1149;0.869198312236287
1150;0.32018561484918795
1151;0.943217665615142
1152;0.8455598455598455
1153;0.8
1154;0.7931873479318735
1155;0.44542772861356933
1156;0.4
1157;0.03755868544600939
1159;0.16129032258064516
1160;0.9013605442176871
1161;0.3075356415478615
1162;0.7724550898203593
1163;0.6838905775075987
1164;0.4214046822742475
1165;0.3286384976525822
1166;0.9359756097560976
1167;0.13142857142857142
1168;0.9627118644067797
1170;0.6706114398422091
1171;0.30809399477806787
1172;0.2805755395683453
1173;0.44963144963144963
1174;0.5501618122977346
1175;0.9722222222222222
1176;0.2822966507177033
1177;0.955
1178;0.75
1179;0.8549222797927462
1180;0.12105263157894737
1181;0.8580246913580247
1182;0.7269736842105263
1183;0.43722943722943725
1184;0.7475409836065574
1185;0.8394495412844036
1186;0.09865470852017937
1187;0.6760204081632653
1188;0.8203125
1189;0.1978021978021978
1190;0.7690140845070422
1191;0.4372623574144487
1193;0.1
1195;0.6894586894586895
1196;0.6774193548387096
1197;0.7152777777777778
1198;0.8
1199;0.17883211678832117
