Image;Accuracy
1171;0.7362924281984334
1172;0.4172661870503597
1173;0.7764127764127764
1174;0.7540453074433657
1175;0.9228395061728395
1176;0.6794258373205742
1177;0.91
1178;0.8
1179;0.8031088082901554
1180;0.021052631578947368
1181;0.8549382716049383
1182;0.6677631578947368
1183;0.3333333333333333
1184;0.7377049180327869
1185;0.9908256880733946
1186;0.3542600896860987
1187;0.7168367346938775
1188;0.7421875
1189;0.7728937728937729
1190;0.7633802816901408
1191;0.49809885931558934
1193;0.8166666666666667
1195;0.7264957264957265
1196;0.6379928315412187
1197;0.6041666666666666
1198;0.8195121951219512
1199;0.48175182481751827
